beta3,se,p,n_pre,n_post,n_events_pre,n_events_post,converged,halfdays,halfyears,w_start,w_end,fe,ci_lo,ci_hi
1.67951067302749,0.970515816285575,0.0835349018551027,180,181,41,62,TRUE,180,0.49,2016-08-05,2017-07-31,Week-year FE,-0.22270032689224,3.58172167294721
2.04827113482396,0.835582148279714,0.014233718678059,270,271,51,79,TRUE,270,0.74,2016-05-07,2017-10-29,Week-year FE,0.410530124195724,3.6860121454522
2.29705884556983,0.75665655229318,0.00239897505926848,360,361,59,93,TRUE,360,0.99,2016-02-07,2018-01-27,Week-year FE,0.814012003075193,3.78010568806446
1.8762107534319,0.746686004586901,0.0119805336774928,450,451,61,98,TRUE,450,1.23,2015-11-09,2018-04-27,Week-year FE,0.412706184441576,3.33971532242223
1.8817562608692,0.726315608076858,0.00957463099527428,540,541,66,118,TRUE,540,1.48,2015-08-11,2018-07-26,Week-year FE,0.458177669038555,3.30533485269984
1.19818101757426,0.800151354946708,0.134278035695546,630,631,70,123,TRUE,630,1.72,2015-05-13,2018-10-24,Week-year FE,-0.370115638121284,2.76647767326981
1.22942903762926,0.719195091670021,0.0873673716150585,720,721,75,127,TRUE,720,1.97,2015-02-12,2019-01-22,Week-year FE,-0.180193342043977,2.6390514173025
1.83235208229409,0.625629854531479,0.00340260405170277,810,811,78,136,TRUE,810,2.22,2014-11-14,2019-04-22,Week-year FE,0.606117567412387,3.05858659717579
1.98899871312165,0.634440489190605,0.00171828462462184,900,901,85,140,TRUE,900,2.46,2014-08-16,2019-07-21,Week-year FE,0.745495354308062,3.23250207193523
1.46812459149001,0.645276662303901,0.0228947591740272,990,991,96,153,TRUE,990,2.71,2014-05-18,2019-10-19,Week-year FE,0.203382333374359,2.73286684960565
1.35652558613105,0.643393756938604,0.0349971850377043,1080,1081,100,164,TRUE,1080,2.96,2014-02-17,2020-01-17,Week-year FE,0.0954738225313849,2.61757734973071
1.18754669037672,0.651239200058184,0.0682249067545101,1127,1171,100,167,TRUE,1170,3.2,2014-01-01,2020-04-16,Week-year FE,-0.0888821417373227,2.46397552249076
1.12045360411411,0.648991569009936,0.0842659027748724,1127,1261,100,180,TRUE,1260,3.45,2014-01-01,2020-07-15,Week-year FE,-0.15156987114536,2.39247707937359
1.0207370982141,0.640886361386304,0.111228421446363,1127,1351,100,201,TRUE,1350,3.7,2014-01-01,2020-10-13,Week-year FE,-0.235400170103052,2.27687436653126
0.943200301982776,0.637841696325068,0.139210541620839,1127,1441,100,213,TRUE,1440,3.94,2014-01-01,2021-01-11,Week-year FE,-0.306969422814357,2.19337002677991
1.14144885208216,0.613020751203415,0.0626021214421459,1127,1531,100,235,TRUE,1530,4.19,2014-01-01,2021-04-11,Week-year FE,-0.0600718202765365,2.34296952444085
1.01578753876739,0.590474193989239,0.0853795287157698,1127,1621,100,277,TRUE,1620,4.44,2014-01-01,2021-07-10,Week-year FE,-0.141541881451515,2.1731169589863
1.07911129911566,0.585619958984361,0.0653754681196097,1127,1711,100,298,TRUE,1710,4.68,2014-01-01,2021-10-08,Week-year FE,-0.0687038204936878,2.22692641872501
0.978605936058543,0.588751135629579,0.0964781959534271,1127,1801,100,306,TRUE,1800,4.93,2014-01-01,2022-01-06,Week-year FE,-0.175346289775431,2.13255816189252
1.28750200950802,0.560870718303934,0.0217021109938889,180,181,41,62,TRUE,180,0.49,2016-08-05,2017-07-31,Month-year FE,0.188195401632312,2.38680861738373
1.52426769560587,0.528349523665572,0.0039146232854255,270,271,51,79,TRUE,270,0.74,2016-05-07,2017-10-29,Month-year FE,0.48870262922135,2.55983276199039
2.19800748662554,0.518588435901399,2.25075386328622e-05,360,361,59,93,TRUE,360,0.99,2016-02-07,2018-01-27,Month-year FE,1.18157415225879,3.21444082099228
2.25708415741314,0.504618093087849,7.71816895759222e-06,450,451,61,98,TRUE,450,1.23,2015-11-09,2018-04-27,Month-year FE,1.26803269496096,3.24613561986533
2.1511324733193,0.49621525230042,1.45707579853462e-05,540,541,66,118,TRUE,540,1.48,2015-08-11,2018-07-26,Month-year FE,1.17855057881048,3.12371436782813
1.43359069250551,0.51199493656345,0.00511011007832045,630,631,70,123,TRUE,630,1.72,2015-05-13,2018-10-24,Month-year FE,0.430080616841147,2.43710076816987
1.33911917512949,0.470850578392653,0.00445450704298178,720,721,75,127,TRUE,720,1.97,2015-02-12,2019-01-22,Month-year FE,0.416252041479886,2.26198630877909
1.96509789508408,0.439419065615296,7.74783679932453e-06,810,811,78,136,TRUE,810,2.22,2014-11-14,2019-04-22,Month-year FE,1.1038365264781,2.82635926369006
2.14305286376842,0.435685411354274,8.70728483462066e-07,900,901,85,140,TRUE,900,2.46,2014-08-16,2019-07-21,Month-year FE,1.28910945751404,2.9969962700228
1.69205872451137,0.414487548015941,4.45939387379245e-05,990,991,96,153,TRUE,990,2.71,2014-05-18,2019-10-19,Month-year FE,0.879663130400126,2.50445431862262
1.81396467446655,0.408652291734359,9.04218515596201e-06,1080,1081,100,164,TRUE,1080,2.96,2014-02-17,2020-01-17,Month-year FE,1.01300618266721,2.61492316626589
1.73775987948548,0.407651265045545,2.01827845244018e-05,1127,1171,100,167,TRUE,1170,3.2,2014-01-01,2020-04-16,Month-year FE,0.938763399996214,2.53675635897475
1.72814636226908,0.406632939552022,2.13872940961799e-05,1127,1261,100,180,TRUE,1260,3.45,2014-01-01,2020-07-15,Month-year FE,0.931145800747119,2.52514692379104
1.71862599179488,0.40537973139612,2.23972362438436e-05,1127,1351,100,201,TRUE,1350,3.7,2014-01-01,2020-10-13,Month-year FE,0.924081718258483,2.51317026533127
1.56356211904132,0.408877143495507,0.000131283165945141,1127,1441,100,213,TRUE,1440,3.94,2014-01-01,2021-01-11,Month-year FE,0.762162917790128,2.36496132029252
1.75729583886399,0.398713126494333,1.04609665974322e-05,1127,1531,100,235,TRUE,1530,4.19,2014-01-01,2021-04-11,Month-year FE,0.975818110935101,2.53877356679289
1.6890902640382,0.395720562801879,1.96887603659228e-05,1127,1621,100,277,TRUE,1620,4.44,2014-01-01,2021-07-10,Month-year FE,0.913477960946514,2.46470256712988
1.66953773406866,0.39571373817265,2.45329228203947e-05,1127,1711,100,298,TRUE,1710,4.68,2014-01-01,2021-10-08,Month-year FE,0.89393880725027,2.44513666088706
1.54960588285885,0.397554614340122,9.70528864071147e-05,1127,1801,100,306,TRUE,1800,4.93,2014-01-01,2022-01-06,Month-year FE,0.770398838752208,2.32881292696548
